"State","Account.Length","Area.Code","Phone","date_naissance"
"ND",68,408,"421-2723","9/8/1955"
"NJ",122,415,"327-9341","9/26/1967"
"MO",36,408,"383-5474","7/31/1900"
"CO",120,510,"328-8147","8/10/1984"
"KS",121,408,"373-5438","9/16/1987"
"NC",64,408,"333-9253","9/23/1957"
"MT",13,415,"347-9421","9/9/1944"
"DE",106,415,"419-3167","7/4/1947"
"ND",88,415,"414-4162","8/16/1980"
"VA",74,408,"416-5341","8/1/1944"
"IL",83,415,"368-8600","9/18/1987"
"OK",49,415,"336-6085","8/23/1944"
"CO",111,510,"377-1479","9/1/1991"
"MT",50,415,"360-2107","9/30/1993"
"WV",153,408,"405-9384","9/9/1909"
"ME",88,415,"420-5179","9/17/1965"
"WI",131,415,"331-3174","7/31/1977"
"MO",79,408,"411-5958","8/27/1896"
"NY",140,415,"333-8180","9/2/1898"
"CT",105,408,"357-2679","7/8/1993"
"AR",54,415,"396-2867","8/11/1993"
"WY",87,415,"341-9443","9/17/1918"
"CA",96,510,"341-4103","9/30/1991"
"CA",79,510,"416-8701","9/20/1976"
"MN",55,415,"397-6109","9/26/1930"
"AK",130,415,"392-5587","8/26/1969"
"VA",34,415,"392-9342","8/7/1995"
"CO",139,415,"368-2845","8/13/1891"
"MT",109,408,"405-4920","8/31/1949"
"SD",65,408,"348-7484","8/1/1956"
"NE",63,415,"338-5207","7/27/1991"
"VT",152,415,"418-7846","8/4/1995"
"ND",147,408,"358-8729","8/16/1967"
"GA",112,415,"349-1943","8/30/1908"
"OR",120,415,"368-8283","8/1/1978"
"MT",27,510,"345-1419","8/11/1992"
"WY",171,415,"358-8025","9/8/1987"
"GA",101,415,"383-8695","8/15/1958"
"WV",32,408,"370-7565","8/25/1987"
"CT",3,415,"401-6162","9/18/1986"
"IL",151,408,"386-5303","9/23/1983"
"CO",60,408,"351-6552","8/6/1962"
"DE",119,415,"345-5338","9/27/1891"
"LA",43,415,"330-2849","9/9/1980"
"MA",42,408,"364-6801","9/19/1994"
"IN",84,408,"375-3003","9/27/1946"
"NY",65,510,"383-8878","7/3/1963"
"TX",75,415,"384-2372","8/12/1955"
"KS",116,510,"377-7107","8/12/1994"
"WV",107,415,"361-1581","7/29/1932"
"NE",189,415,"417-7888","9/19/1984"
"ND",123,408,"383-8364","9/8/1983"
"AK",110,408,"396-2335","8/31/1971"
"CO",63,415,"408-4530","8/5/1946"
"ME",176,415,"408-6621","9/5/1960"
"SC",108,510,"393-7522","9/30/1974"
"MN",13,510,"338-7120","9/28/1932"
"CO",71,415,"357-4265","9/18/1910"
"KS",88,415,"398-8801","9/11/1900"
"MS",137,510,"346-2347","9/22/1984"
"NE",82,408,"343-2741","8/5/1992"
"NJ",92,510,"420-8242","7/29/1982"
"WI",165,510,"402-7746","8/29/1979"
"MT",96,415,"332-1494","9/19/1955"
"AR",156,415,"388-6223","8/10/1976"
"WA",63,408,"404-9539","7/29/1923"
"NH",37,415,"341-7332","8/21/1989"
"IA",98,415,"338-7886","8/21/1985"
"WV",121,415,"332-5596","9/24/1964"
"RI",94,415,"348-9945","7/4/1912"
"KS",99,415,"407-1896","9/22/1927"
"MT",163,510,"398-9408","9/26/1927"
"MO",161,510,"369-8005","7/8/1993"
"HI",99,415,"346-2530","9/4/1988"
"CO",108,415,"400-5984","8/14/1898"
"CT",84,510,"351-1007","9/6/1967"
"ID",83,415,"345-5980","8/29/1939"
"DC",139,510,"368-8964","9/3/1945"
"TN",69,510,"358-1912","8/15/1933"
"WY",129,510,"379-3132","9/22/1984"
"MO",106,415,"340-9910","7/31/1959"
"VA",158,415,"396-2719","8/10/1895"
"SD",168,415,"369-6204","9/16/1950"
"WV",115,510,"420-9971","9/25/1942"
"GA",57,408,"410-3782","8/5/1964"
"AZ",67,415,"404-4481","7/7/1963"
"AK",127,408,"383-9255","7/3/1950"
"AK",78,510,"418-9385","9/18/1963"
"CT",100,415,"360-9676","8/22/1978"
"UT",103,510,"327-3587","9/22/1963"
"KY",113,415,"385-4715","7/27/1942"
"MI",78,510,"414-2695","9/30/1953"
"OR",129,510,"331-5999","8/3/1940"
"TN",57,510,"337-7739","7/4/1985"
"WV",82,408,"388-6658","9/22/1922"
"NJ",64,415,"405-6943","9/20/1967"
"MS",86,510,"382-4084","8/3/1994"
"ME",151,415,"352-8249","9/15/1961"
"WY",94,510,"353-8363","8/9/1967"
"WY",90,415,"416-2825","9/12/1979"
"IN",48,510,"342-6696","9/23/1975"
"NM",85,408,"338-9210","7/7/1951"
"NJ",93,415,"328-1768","9/7/1991"
"DC",169,415,"406-5870","8/6/1993"
"UT",68,415,"398-3834","8/7/1964"
"KY",91,415,"330-7754","8/30/1957"
"KS",68,510,"414-9054","7/31/1949"
"MI",101,510,"350-2832","7/7/1992"
"UT",67,510,"414-9027","8/12/1951"
"NE",66,415,"337-1225","8/10/1988"
"FL",116,415,"394-6577","8/8/1989"
"LA",158,408,"359-6995","7/6/1962"
"MT",78,415,"377-7561","8/20/1958"
"WA",119,415,"380-6631","9/20/1982"
"MI",120,415,"390-8876","8/22/1926"
"KY",155,510,"413-2201","9/1/1941"
"LA",106,408,"374-2073","9/26/1964"
"NM",87,510,"417-1272","8/12/1967"
"AL",146,415,"358-1129","7/8/1942"
"MO",101,415,"394-1211","9/12/1963"
"CO",22,510,"327-1319","9/4/1961"
"TX",90,415,"399-4413","9/6/1952"
"NY",41,415,"393-9985","9/8/1952"
"OR",69,415,"401-8377","9/10/1956"
"WY",33,415,"331-3202","9/22/1983"
"UT",112,415,"358-5953","9/22/1979"
"LA",108,510,"380-7624","9/5/1964"
"NV",136,415,"416-5261","9/22/1978"
"NC",128,510,"417-5067","8/19/1961"
"NC",27,408,"345-6515","8/8/1895"
"WY",161,415,"406-1349","9/19/1921"
"TN",33,415,"360-9038","9/16/1956"
"FL",120,415,"348-3444","8/9/1963"
"CA",113,415,"370-2892","9/27/1949"
"PA",122,415,"383-4061","7/26/1995"
"WV",148,415,"391-7937","7/8/1959"
"NJ",74,415,"389-4083","8/7/1994"
"MT",106,415,"410-9633","8/31/1950"
"MN",179,415,"418-9502","9/4/1982"
"WI",149,415,"339-6637","8/24/1987"
"ID",77,510,"356-3403","9/30/1985"
"MA",127,408,"371-9457","8/30/1989"
"OR",80,415,"391-8087","8/30/1915"
"MT",106,510,"392-6420","9/10/1989"
"AL",61,415,"399-4094","9/17/1993"
"ND",135,510,"378-4013","9/14/1959"
"LA",115,415,"386-6306","7/30/1965"
"ND",167,408,"359-3618","9/18/1912"
"MS",107,510,"340-8875","9/20/1994"
"WV",112,415,"330-2693","8/27/1965"
"WI",35,510,"403-7627","9/6/1979"
"KS",103,408,"342-3678","8/3/1948"
"MO",107,415,"344-9943","7/6/1914"
"PA",69,415,"390-5686","8/8/1991"
"SD",85,408,"358-5826","9/22/1973"
"NJ",24,408,"393-7826","8/4/1893"
"AL",90,415,"335-9786","8/10/1994"
"ME",137,510,"368-9860","7/9/1971"
"AZ",92,415,"416-9522","9/20/1994"
"VT",38,415,"416-7307","7/3/1987"
"NV",69,510,"397-6789","8/12/1986"
"WI",45,408,"335-9501","9/19/1988"
"HI",73,408,"388-1250","8/3/1938"
"DE",92,415,"386-1374","7/3/1970"
"AZ",113,415,"346-8112","9/17/1995"
"VA",68,408,"364-9040","9/13/1992"
"GA",135,415,"366-3944","9/24/1986"
"AZ",100,415,"331-9861","8/12/1988"
"MN",96,415,"330-2881","9/23/1938"
"ME",108,510,"402-9558","8/29/1906"
"FL",84,510,"341-3180","7/9/1967"
"WA",134,408,"371-8598","8/4/1981"
"MT",72,415,"398-8385","8/13/1965"
"AL",83,408,"333-4154","8/12/1988"
"WV",137,408,"330-3589","9/16/1993"
"GA",56,415,"417-1477","7/28/1983"
"OH",61,510,"327-5525","9/23/1987"
"DE",171,510,"363-8244","9/24/1932"
"NE",123,510,"419-9104","8/8/1993"
"FL",58,510,"363-1560","9/5/1965"
"AK",156,510,"341-4075","8/22/1980"
"WI",166,510,"366-9074","8/23/1993"
"WA",75,510,"367-1424","8/24/1932"
"KY",75,415,"341-1191","8/7/1945"
"OH",83,510,"342-9480","8/27/1946"
"UT",243,510,"355-9360","7/5/1983"
"NM",153,408,"343-1538","9/16/1940"
"MN",150,415,"335-2331","8/14/1973"
"WV",92,510,"335-7257","8/31/1990"
"MN",80,415,"332-2137","9/25/1983"
"AL",134,415,"352-2998","8/24/1963"
"PA",77,510,"346-6941","9/18/1971"
"DE",147,510,"400-2203","8/18/1968"
"MO",74,415,"421-2955","9/23/1993"
"IL",138,510,"331-6629","9/1/1944"
"FL",143,415,"343-6314","7/7/1992"
"HI",64,415,"414-6638","8/16/1935"
"ME",120,510,"350-5883","9/28/1944"
"CO",121,408,"409-4447","9/7/1972"
"NH",88,415,"376-4856","8/2/1984"
"SC",87,408,"335-1874","8/17/1987"
"IN",100,510,"397-6255","8/25/1976"
"FL",104,415,"381-5047","8/30/1899"
"GA",27,510,"403-6850","9/7/1902"
"IL",81,415,"375-3658","9/13/1988"
"NC",64,510,"341-2603","9/26/1992"
"VT",107,510,"342-5062","7/4/1935"
"DC",88,415,"354-1558","9/1/1993"
"VT",111,408,"351-9537","8/11/1955"
"NV",77,415,"401-1252","9/14/1918"
"OR",67,415,"366-9538","7/6/1990"
"AL",102,408,"364-7622","8/17/1981"
"ND",146,408,"393-9918","9/22/1921"
"FL",144,415,"376-4484","9/18/1922"
"NE",96,415,"410-6791","8/16/1994"
"ND",70,415,"343-2392","8/26/1978"
"ME",149,408,"408-4323","8/30/1966"
"IL",129,415,"395-1718","8/3/1992"
"WA",166,408,"354-9492","7/7/1983"
"MA",136,408,"367-8168","8/10/1975"
"KS",149,510,"340-3500","9/13/1946"
"RI",70,415,"369-4962","8/4/1983"
"MO",120,415,"334-8967","8/12/1993"
"IA",66,510,"402-2377","9/26/1983"
"WY",104,408,"366-3917","8/24/1979"
"NV",160,415,"333-3531","8/6/1993"
"WI",129,415,"333-8954","9/15/1971"
"AL",93,408,"374-9203","9/29/1974"
"HI",169,415,"334-3289","8/23/1976"
"MO",58,415,"353-7822","9/27/1956"
"CA",75,510,"350-1422","9/19/1918"
"MO",45,408,"385-8406","8/13/1992"
"CT",155,510,"380-7277","9/16/1927"
"MD",52,415,"352-1798","8/11/1992"
"OH",119,415,"385-7922","7/4/1984"
"NV",86,510,"353-7730","8/3/1979"
"MD",42,408,"337-7163","8/28/1990"
"NE",127,510,"348-5567","8/31/1951"
"OH",123,408,"420-9575","8/17/1985"
"MA",98,510,"366-3358","9/7/1959"
"OK",149,510,"359-9972","7/6/1918"
"MA",160,408,"387-3332","9/26/1990"
"WA",103,415,"354-6960","9/19/1976"
"HI",132,415,"405-3335","9/9/1993"
"CO",137,415,"379-4257","8/28/1918"
"FL",129,415,"355-4992","9/22/1925"
"WI",62,415,"383-6373","8/31/1983"
"ID",122,510,"382-7993","9/19/1961"
"WY",32,408,"422-5865","9/22/1955"
"GA",86,510,"410-9961","9/1/1980"
"FL",130,415,"343-9946","8/29/1995"
"WY",42,408,"357-7060","9/28/1939"
"DE",73,415,"355-9541","9/1/1977"
"ME",66,408,"378-4145","9/21/1987"
"DC",103,510,"386-2317","7/7/1967"
"IA",128,408,"335-8146","9/3/1993"
"CO",104,415,"377-2235","7/8/1994"
"MN",103,415,"386-9141","8/1/1947"
"VT",124,415,"416-5623","8/31/1991"
"AZ",87,510,"327-3053","8/11/1954"
"LA",109,415,"395-6195","8/24/1915"
"MO",167,415,"397-8772","8/21/1931"
"ME",97,510,"346-7656","9/3/1902"
"MD",106,415,"343-2350","7/29/1983"
"VT",125,415,"372-4722","8/8/1945"
"DC",108,408,"399-8615","8/27/1939"
"WY",125,415,"379-8248","9/19/1915"
"VA",89,415,"414-6219","8/11/1912"
"VA",72,510,"387-1343","8/29/1988"
"CT",23,510,"370-5527","9/27/1920"
"HI",149,510,"393-8736","8/11/1918"
"WI",73,415,"402-7626","9/22/1958"
"MD",61,415,"370-2688","9/29/1905"
"WV",161,415,"418-9036","9/8/1996"
"VT",73,408,"417-2035","9/30/1918"
"UT",118,415,"355-3602","9/5/1958"
"CO",23,408,"393-4027","8/17/1961"
"NC",127,415,"418-5141","9/18/1972"
"NJ",42,415,"406-1247","9/7/1992"
"AR",118,415,"402-3892","9/21/1903"
"IA",45,510,"332-2965","9/13/1906"
"GA",50,408,"377-1218","8/6/1988"
"MO",179,510,"355-2464","9/19/1987"
"MO",152,408,"404-4611","8/8/1986"
"WY",105,415,"373-2339","9/26/1923"
"HI",72,415,"410-3503","9/19/1991"
"PA",52,408,"410-4739","9/25/1954"
"TX",125,415,"365-3562","8/6/1920"
"VA",143,510,"387-7641","8/8/1932"
"RI",65,415,"385-9744","9/16/1969"
"WI",80,415,"398-5006","9/8/1962"
"MS",1,415,"408-3977","9/6/1975"
"KY",60,408,"334-2729","7/7/1941"
"NC",43,415,"334-7685","9/4/1951"
"NV",143,415,"350-9228","9/28/1919"
"UT",81,415,"407-5774","9/29/1985"
"ME",205,510,"413-4039","7/26/1995"
"HI",24,415,"343-2077","9/13/1984"
"OH",74,415,"336-5661","9/28/1917"
"WV",77,510,"355-4143","9/15/1993"
"OK",74,415,"366-5918","7/28/1945"
"KY",74,510,"368-7555","9/7/1959"
"AL",200,408,"408-2119","9/9/1912"
"MD",86,408,"329-2789","9/11/1992"
"NE",91,510,"334-1508","7/6/1923"
"DC",76,415,"337-1506","9/11/1972"
"TX",130,415,"396-8400","8/23/1956"
"OH",56,408,"349-2654","7/5/1958"
"DE",117,415,"417-2716","8/22/1918"
"IA",63,510,"402-1725","7/29/1945"
"VT",126,415,"403-3229","9/27/1980"
"OR",132,510,"353-6056","9/15/1980"
"NV",81,415,"399-9802","9/26/1938"
"NC",122,415,"366-7069","9/2/1963"
"NJ",46,408,"332-5949","9/2/1988"
"MN",150,415,"393-6376","9/14/1939"
"ID",99,408,"354-7025","8/26/1980"
"AL",87,408,"351-6585","8/24/1908"
"AK",108,415,"330-5462","8/1/1957"
"VT",101,415,"407-2292","8/4/1987"
"PA",53,415,"340-3011","8/16/1962"
"AK",132,415,"345-9153","8/12/1956"
"CA",158,510,"379-5503","7/9/1898"
"MS",114,415,"389-6790","9/22/1907"
"AR",77,415,"408-3610","8/16/1962"
"NV",144,415,"375-8238","9/5/1964"
"AL",91,510,"378-5633","7/30/1993"
"GA",58,408,"389-9120","9/25/1981"
"AR",5,415,"380-2758","8/17/1990"
"MA",97,408,"402-2728","9/23/1918"
"NJ",107,415,"354-9062","8/22/1959"
"MO",142,415,"417-2054","9/11/1974"
"NY",9,408,"353-1941","9/10/1951"
"AZ",73,415,"328-1522","8/12/1994"
"NJ",48,510,"408-4529","8/15/1945"
"WV",43,408,"417-5320","8/22/1991"
"NM",122,408,"370-9755","9/15/1984"
"SC",93,415,"372-4835","9/19/1909"
"VT",85,415,"334-6605","9/20/1921"
"TN",59,415,"399-5564","8/27/1938"
"LA",87,415,"392-2887","7/27/1977"
"OH",137,408,"328-2110","8/6/1946"
"OR",21,510,"383-5976","8/13/1970"
"DE",129,510,"332-6181","8/11/1991"
"KY",104,415,"330-5255","8/24/1983"
"GA",93,408,"413-5190","9/14/1991"
"VT",63,415,"394-7447","8/13/1988"
"OR",161,415,"353-7096","9/26/1929"
"TX",50,510,"395-6002","8/20/1966"
"MO",103,408,"372-9816","9/8/1921"
"ND",84,415,"400-7253","8/12/1949"
"MN",92,510,"344-7470","9/10/1968"
"NV",77,415,"378-8572","7/3/1962"
"NY",64,415,"345-9140","9/14/1962"
"FL",159,415,"340-5460","8/17/1978"
"KS",110,415,"369-8024","7/4/1985"
"NV",138,510,"395-8595","8/15/1990"
"NV",178,408,"359-4587","7/30/1991"
"SC",38,415,"375-5439","8/11/1985"
"MI",50,415,"361-3779","8/22/1917"
"MI",45,510,"375-8934","8/25/1930"
"TN",70,510,"395-4757","8/12/1984"
"NY",147,510,"421-7205","8/6/1994"
"NV",94,510,"379-8805","9/16/1958"
"IL",179,510,"348-2150","9/17/1978"
"MS",116,415,"417-9128","9/24/1990"
"ND",59,510,"351-4226","8/9/1946"
"NC",165,415,"330-6630","9/6/1917"
"MI",133,408,"387-9137","8/8/1991"
"TN",140,415,"372-3987","9/19/1989"
"VT",93,408,"408-5183","9/10/1989"
"OK",52,510,"412-9357","9/22/1973"
"DE",64,415,"402-3599","8/7/1959"
"ND",12,510,"379-5211","8/14/1990"
"OR",48,415,"405-9217","9/15/1940"
"NY",181,408,"340-9200","8/12/1925"
"MO",168,415,"339-9026","8/10/1987"
"FL",155,415,"343-4772","8/10/1989"
"ND",105,510,"345-2108","7/3/1956"
"NY",11,415,"401-4650","7/28/1978"
"ND",182,415,"400-3945","7/6/1981"
"NY",104,415,"338-3781","8/3/1989"
"OH",102,415,"342-6316","9/11/1993"
"AL",122,415,"336-5920","9/21/1992"
"SC",41,415,"332-1060","8/20/1943"
"GA",132,415,"418-3426","8/11/1889"
"WY",76,415,"408-6326","9/11/1959"
"WV",13,415,"334-6142","8/12/1975"
"HI",115,415,"336-6128","9/5/1988"
"WV",67,408,"406-6708","9/2/1980"
"LA",154,510,"388-8670","8/18/1903"
"AR",100,510,"363-5853","7/29/1981"
"AK",146,510,"383-6544","8/20/1979"
"DC",148,415,"378-2940","9/5/1923"
"AL",67,415,"338-7683","8/28/1985"
"UT",161,510,"329-2786","8/1/1989"
"KS",70,415,"369-9465","8/5/1954"
"MN",116,510,"337-3769","9/8/1990"
"VA",99,415,"400-6257","9/21/1988"
"UT",87,415,"411-6663","8/23/1989"
"IN",87,510,"384-3101","8/2/1988"
"CT",70,408,"339-5329","9/8/1989"
"DE",131,408,"388-9944","8/24/1993"
"VT",119,510,"403-1769","8/12/1975"
"MO",119,408,"390-1612","8/18/1945"
"RI",87,510,"421-7214","8/21/1923"
"CA",112,415,"338-6962","8/3/1989"
"RI",75,415,"333-9826","8/7/1988"
"CT",150,510,"411-8549","8/29/1982"
"IN",161,510,"381-9234","9/21/1973"
"FL",91,510,"387-9855","9/2/1896"
"KS",124,415,"371-6990","8/24/1897"
"NY",94,510,"417-3046","7/9/1993"
"TX",217,408,"385-7082","8/15/1922"
"RI",158,510,"365-5886","8/12/1941"
"NV",102,415,"373-5196","9/30/1987"
"UT",85,510,"327-6194","8/27/1971"
"OK",79,510,"381-4565","9/15/1962"
"MN",139,510,"357-9832","8/13/1982"
"NC",103,415,"396-4845","9/20/1988"
"OR",98,415,"378-6772","7/29/1980"
"NH",78,408,"353-4296","9/9/1989"
"AK",50,408,"362-8331","8/16/1966"
"OR",161,415,"362-4685","8/10/1989"
"KS",67,408,"383-1431","8/7/1920"
"WV",86,415,"332-2258","7/29/1991"
"GA",92,510,"375-8304","9/13/1974"
"NM",174,415,"340-5580","7/7/1898"
"OH",124,510,"362-1490","9/11/1978"
"ND",132,415,"336-4281","8/16/1972"
"RI",190,415,"361-1315","7/3/1944"
"HI",101,510,"342-5906","9/27/1960"
"WY",185,415,"405-7904","9/23/1992"
"NY",68,415,"349-4762","7/7/1967"
"KS",117,510,"385-3263","9/25/1938"
"LA",118,408,"405-9496","9/1/1983"
"PA",124,415,"396-6775","9/1/1984"
"NV",22,510,"393-6475","8/30/1988"
"MN",75,415,"379-7779","9/13/1971"
"PA",134,408,"408-8650","8/5/1985"
"MO",164,408,"400-3497","8/3/1977"
"NY",44,510,"407-9244","9/14/1969"
"ME",177,415,"406-8809","9/30/1971"
"NH",110,408,"358-1778","9/12/1994"
"WY",53,415,"337-4339","8/6/1954"
"NY",108,415,"344-7197","8/29/1986"
"ME",80,408,"333-7631","7/7/1939"
"MN",158,408,"372-6623","9/25/1979"
"OH",114,415,"363-2602","8/18/1977"
"NC",64,408,"387-7757","9/29/1966"
"SD",88,415,"397-5381","7/8/1987"
"UT",82,510,"406-4604","8/12/1922"
"KY",111,415,"376-9513","8/11/1978"
"MT",60,408,"360-1852","9/8/1990"
"NJ",113,408,"421-7270","8/8/1960"
"FL",109,408,"371-9482","8/15/1946"
"IN",105,510,"337-4101","9/11/1918"
"DE",85,510,"420-2796","8/6/1976"
"AL",131,510,"366-4225","8/10/1941"
"ME",59,510,"398-4567","9/20/1943"
"SD",148,408,"388-4571","8/19/1984"
"VA",210,408,"360-8666","8/16/1971"
"AK",115,415,"333-3704","9/21/1992"
"ID",106,510,"383-2566","7/3/1993"
"RI",93,415,"406-5584","7/28/1947"
"KY",57,415,"344-4691","8/23/1984"
"ND",98,510,"347-9737","7/4/1949"
"HI",157,415,"333-7961","9/7/1971"
"WI",116,415,"364-2439","9/21/1950"
"WV",30,510,"411-8043","7/5/1962"
"NJ",111,510,"332-5084","9/4/1935"
"KS",52,415,"413-4831","9/15/1983"
"AL",72,415,"343-4806","8/16/1899"
"NJ",135,510,"401-8735","9/2/1981"
"NC",86,510,"391-8626","9/21/1977"
"DE",98,415,"327-5817","8/16/1967"
"WY",151,510,"381-4712","9/25/1958"
"ID",118,415,"335-3320","9/19/1986"
"NY",117,415,"415-8780","8/12/1935"
"MO",55,510,"362-1146","8/12/1949"
"ID",82,408,"352-7413","9/8/1957"
"IA",152,415,"387-6716","9/23/1985"
"TN",108,408,"352-1127","9/26/1958"
"OH",98,408,"368-1288","8/28/1985"
"IL",130,415,"403-5279","8/31/1918"
"FL",136,408,"397-9333","8/9/1937"
"MA",47,415,"411-7353","8/16/1924"
"OK",189,415,"383-2537","8/16/1962"
"KY",107,415,"330-4419","7/27/1922"
"MI",91,415,"390-7930","8/10/1975"
"NE",159,415,"362-5111","9/29/1916"
"VA",11,408,"358-6796","9/4/1990"
"NY",167,415,"409-7494","7/4/1983"
"MT",111,408,"400-1636","8/19/1967"
"VT",99,408,"389-2747","8/12/1980"
"KS",159,415,"415-2176","9/22/1936"
"VA",114,415,"377-8067","9/18/1933"
"AL",71,415,"362-7835","9/6/1976"
"PA",122,415,"361-5225","8/2/1958"
"AL",100,408,"333-3447","9/23/1962"
"WV",83,415,"341-3044","9/15/1961"
"NV",64,408,"350-7306","8/18/1983"
"TN",105,408,"353-8849","8/5/1993"
"ID",144,415,"402-3476","9/10/1993"
"WY",106,415,"338-6018","8/6/1991"
"TX",19,510,"409-3520","8/21/1965"
"MA",46,408,"357-1085","7/8/1994"
"IL",127,510,"353-3285","9/17/1949"
"LA",9,415,"409-9885","8/9/1991"
"CO",157,415,"388-7701","8/17/1895"
"UT",105,415,"385-8184","8/1/1941"
"MI",105,415,"345-2863","9/4/1989"
"NH",155,408,"353-6300","8/15/1966"
"ID",31,415,"389-5649","9/6/1922"
"WA",161,415,"378-8137","9/17/1982"
"MN",95,408,"340-4627","9/2/1947"
"NY",122,415,"352-6833","9/23/1947"
"MD",37,415,"420-2000","9/3/1995"
"GA",132,415,"368-5437","9/17/1956"
"HI",119,408,"418-8170","7/29/1963"
"AL",16,408,"403-9417","7/27/1947"
"CT",99,408,"330-6165","8/26/1959"
"CO",76,408,"412-4185","8/22/1949"
"KS",167,415,"409-4734","8/16/1989"
"NJ",129,415,"348-9828","7/4/1974"
"FL",116,408,"418-8850","8/16/1943"
"CA",60,415,"330-8351","8/30/1977"
"KS",128,415,"347-7773","8/28/1995"
"TX",47,408,"392-6841","8/30/1984"
"MN",40,510,"354-2189","8/17/1994"
"AK",173,510,"349-9060","8/29/1964"
"OR",157,510,"334-1311","8/3/1951"
"MS",66,408,"415-3120","9/11/1920"
"VT",50,415,"387-5891","8/15/1963"
"UT",72,415,"368-8026","7/8/1961"
"KS",130,510,"332-9446","7/6/1994"
"NV",143,408,"393-5284","9/7/1988"
"DE",89,510,"376-1677","9/8/1987"
"IN",108,415,"392-2268","9/3/1892"
"TX",32,408,"396-4311","8/4/1961"
"MA",166,415,"363-4005","8/9/1982"
"VT",109,408,"344-9966","7/3/1947"
"CA",72,408,"337-7377","8/6/1982"
"IA",134,415,"373-7037","8/17/1964"
"NH",13,415,"356-7580","9/10/1992"
"GA",90,415,"390-3401","8/18/1990"
"WI",111,415,"350-9313","9/20/1988"
"CO",101,408,"420-9009","8/5/1902"
"SC",72,415,"415-2641","9/9/1949"
"MI",67,510,"392-4929","9/30/1984"
"MD",172,408,"346-5068","8/13/1987"
"IN",154,510,"389-2631","9/24/1897"
"ME",69,510,"368-3808","7/4/1990"
"DC",123,415,"406-8599","7/31/1987"
"TN",130,415,"386-7456","7/5/1944"
"FL",142,415,"357-4936","9/11/1976"
"WA",29,415,"397-7411","9/18/1989"
"HI",87,408,"353-6218","9/7/1969"
"NE",149,415,"369-5942","9/14/1934"
"TN",146,408,"416-8543","7/8/1996"
"MD",88,415,"358-4576","9/22/1968"
"NM",119,415,"352-5118","9/19/1994"
"VT",48,510,"408-2621","8/17/1990"
"OR",135,415,"353-3994","7/3/1956"
"IN",100,510,"367-4277","8/3/1938"
"MO",98,415,"354-3237","7/8/1963"
"FL",75,510,"394-8504","7/28/1992"
"DC",180,415,"370-4139","8/9/1989"
"VT",100,415,"382-6135","8/2/1961"
"OH",119,415,"359-5718","8/22/1971"
"MO",86,415,"385-3111","8/16/1991"
"LA",155,408,"353-4880","7/31/1922"
"IL",78,415,"343-7019","8/1/1988"
"NJ",153,415,"419-6133","9/15/1973"
"IA",92,510,"350-7344","9/11/1991"
"WA",13,510,"397-6064","9/5/1893"
"NE",154,415,"363-6896","9/13/1959"
"CT",144,510,"416-9021","7/9/1986"
"WV",48,408,"408-3269","9/9/1990"
"ND",94,408,"408-9463","8/18/1994"
"UT",139,415,"340-7062","9/10/1953"
"MS",126,415,"417-4309","8/19/1945"
"MN",122,415,"421-2659","7/4/1979"
"NH",139,510,"383-2017","9/7/1971"
"LA",95,415,"411-6294","8/16/1923"
"ME",80,408,"332-9525","8/6/1965"
"KS",131,415,"401-5012","9/14/1917"
"KS",36,510,"368-8835","7/30/1956"
"NV",180,510,"351-1382","8/18/1940"
"MT",25,415,"359-7694","8/18/1990"
"MT",113,415,"419-5505","9/25/1970"
"ID",88,415,"341-4570","9/3/1906"
"AK",120,415,"366-6991","9/5/1946"
"UT",74,415,"377-7399","9/20/1981"
"AR",109,510,"377-9092","7/9/1946"
"LA",162,510,"373-6681","7/29/1961"
"KS",124,510,"417-7736","8/3/1990"
"OR",177,408,"393-2812","8/3/1960"
"WI",91,510,"398-3176","7/31/1960"
"CO",105,408,"334-8694","8/13/1993"
"KS",24,510,"369-5449","9/24/1987"
"IL",48,510,"380-5246","9/22/1993"
"IA",86,408,"390-3873","8/15/1991"
"AZ",163,510,"354-4568","7/27/1989"
"NE",91,510,"339-6968","8/4/1945"
"ID",56,510,"379-5933","7/3/1986"
"OH",147,415,"365-5682","9/8/1992"
"TX",64,415,"382-8518","8/21/1963"
"TN",108,510,"356-8449","7/6/1990"
"OK",159,510,"333-3460","9/24/1983"
"ND",136,510,"375-8596","8/20/1917"
"MT",116,415,"384-5907","7/9/1943"
"NC",45,408,"373-2903","9/30/1936"
"MN",122,415,"361-7702","8/20/1939"
"MN",138,415,"388-5850","8/17/1960"
"MA",132,415,"405-6298","7/28/1980"
"PA",101,415,"368-2074","9/16/1928"
"GA",58,510,"328-5050","9/30/1918"
"NV",81,415,"395-5783","7/28/1960"
"TX",87,415,"420-7301","9/1/1950"
"ME",116,510,"328-2478","7/30/1945"
"RI",85,415,"381-2460","8/30/1984"
"MN",62,510,"390-9811","8/3/1972"
"NH",90,415,"373-5670","9/6/1988"
"TN",98,415,"351-7016","7/31/1981"
"UT",73,415,"394-9934","9/29/1903"
"RI",107,510,"422-8268","8/22/1990"
"NH",55,408,"373-7690","9/6/1984"
"AK",76,415,"366-9781","8/13/1988"
"NC",30,510,"404-5427","9/17/1987"
"AZ",157,415,"389-9783","7/4/1963"
"MA",40,408,"351-7005","9/16/1972"
"TN",72,408,"348-2009","8/11/1983"
"WY",95,415,"340-4236","9/13/1990"
